id,clutch,day_hatch,day_photo,temp,egg_treat,sp,mass)hatch,SVL_hatch,Tail_length_hatch,Weigth,Distance.moved,Time_hide_sec,Time_snout_sec,Time_emerge_sec,SVL,Tail,Total,Tail_intact,day,speed_1m_s,burst_25cm,25fast,age,Notes,Notes.1,Notes.2.y
LD292_20,CL087_20,30/12/2020,21/2/2021,cold,ablated,Deli,0.118,18.077,25.496,0.327,1334.11,43,552,979,23.439,41.258,64.697,Yes,1,2.53,0.77,0.55,53,,,
LD294_20,CL087_20,12/12/2020,11/2/2021,hot,control,Deli,0.131,19.436,24.554,0.416,529.417,2,1012,2604,26.394,40.788,67.182,Yes,1,4.82,1.8,0.91,61,,,
LD311_20,CL093_20,31/12/2020,21/2/2021,cold,ablated,Deli,0.11,17.717,23.573,0.276,496.236,11,NA,NA,22.91,32.631,55.541,Yes,1,61.55,26.49,10.5,52,,,
LD312_20,CL093_20,13/12/2020,2/3/2021,hot,ablated,Deli,0.092,17.876,22.856,0.325,307.11,1,867,3492,24.108,40.238,64.346,Yes,1,3.8,1.11,0.83,79,,,
LD332_20,CL097_20,15/12/2020,21/2/2021,hot,control,Deli,0.089,17.386,20.923,0.351,1056.6,3,1421,NA,25.365,NA,NA,Yes,1,6.27,1.83,1.12,68,,,
LD333_20,CL097_20,2/1/2021,2/3/2021,cold,ablated,Deli,0.083,15.855,20.291,0.263,1207.88,8,1318,1594,22.451,32.773,55.224,Yes,1,16.83,10.02,1.3,59,,,
LD336_20,CL098_20,14/12/2020,2/3/2021,hot,control,Deli,0.096,16.482,21.516,0.327,258.386,2,1738,3179,21.897,NA,NA,Yes,1,4.49,1.39,0.83,78,,,
LD342_20,CL100_20,27/12/2020,31/1/2021,cold,control,Deli,0.13,18.793,24.854,0.248,430.245,NA,NA,NA,23.881,33.619,57.5,Yes,1,2.95,0.9,0.62,35,,,
LD345_20,CL101_20,31/12/2020,2/3/2021,cold,control,Deli,0.107,17.88,22.921,0.302,310.532,19,717,1975,23.633,31.347,54.98,Yes,1,2.83,0.84,0.47,61,,,
LD349_20,CL102_20,3/1/2021,2/3/2021,cold,control,Deli,0.092,17.88,22.698,0.22,372.548,5,4511,NA,21.164,31.841,53.005,Yes,1,3.43,1.04,0.66,58,,,
LD353_20,CL103_20,17/12/2020,2/3/2021,hot,control,Deli,0.104,16.95,23.672,0.398,477.577,11,1515,2185,24.029,NA,NA,Yes,1,2.21,0.7,0.43,75,,,
LD358_20,CL104_20,3/1/2021,21/2/2021,cold,ablated,Deli,0.107,18.373,23.661,0.192,552.688,2,2191,3328,20.821,24.967,45.788,Yes,1,7.84,5.87,0.6,49,,,
LD361_20,CL104_20,18/12/2020,31/1/2021,hot,ablated,Deli,0.088,17.103,20.875,0.257,927.828,57,1364,2630,21.392,35.761,57.153,Yes,1,3.61,1.41,0.7,44,,,
LD365_20,CL105_20,15/12/2020,11/2/2021,hot,ablated,Deli,0.093,16.949,20.927,0.256,1121.04,6,5624,NA,22.08,34.559,56.639,Yes,1,3.36,1.15,0.59,58,,,
LD374_20,CL109_20,19/12/2020,11/2/2021,hot,ablated,Deli,0.086,17.693,21.222,0.228,589.483,12,NA,NA,21.585,NA,NA,Yes,1,5.15,1.52,1.12,54,tail tip is invisible,,
LD378_20,CL111_20,7/1/2021,21/2/2021,cold,ablated,Deli,0.098,17.4,21.683,0.299,1000.78,3,881,4296,22.926,30.196,53.122,Yes,1,9.9,3.19,1.9,45,,,
LD383_20,CL111_20,19/12/2020,11/2/2021,hot,ablated,Deli,0.099,NA,NA,0.242,580.773,18,NA,NA,23.146,35.483,58.629,Yes,1,3.59,1.16,0.7,54,,,
LD386_20,CL112_20,9/1/2021,2/3/2021,cold,ablated,Deli,0.116,18.83,22.62,0.334,433.209,2,793,1367,23.609,29.225,52.834,Yes,1,6.57,1.96,1.21,52,,,
LD387_20,CL112_20,22/12/2020,21/2/2021,hot,ablated,Deli,0.111,18.397,23.716,0.418,816.123,5,1282,2582,27.17,41.069,68.239,Yes,1,3.88,1.34,0.78,61,,,
LD390_20,CL114_20,6/1/2021,21/2/2021,cold,ablated,Deli,0.082,17.235,20.318,0.242,673.695,51,NA,NA,21.512,32.253,53.765,Yes,1,4.11,1.7,0.48,46,,,
LD396_20,CL115_20,7/1/2021,2/3/2021,cold,control,Deli,0.113,18.833,23.347,0.279,1140.08,2,204,1005,24.188,34.132,58.32,Yes,1,3.42,0.99,0.68,54,,,
LD408_20,CL120_20,8/1/2021,2/3/2021,cold,ablated,Deli,0.099,18.489,22.209,0.349,NA,3,3973,NA,25.893,34.618,60.511,Yes,1,5.28,1.94,0.93,53,,,
LD416_20,CL123_20,9/1/2021,21/2/2021,cold,control,Deli,0.113,18.152,21.22,0.252,1013.36,2,1352,1915,23.622,29.731,53.353,Yes,1,2.06,0.61,0.45,43,,,
LD419_20,CL124_20,27/12/2020,31/1/2021,hot,control,Deli,0.083,17.706,21.061,0.196,761.624,20,NA,NA,21.269,27.942,49.211,Yes,1,3.54,1.3,0.68,35,,,
LD423_20,CL125_20,25/12/2020,21/2/2021,hot,ablated,Deli,0.072,17.514,18.448,0.28,723.583,4,719,1610,23.383,28.544,51.927,No,1,7.55,2.11,1.7,58,,drop 1cm tail,
LD426_20,CL125_20,10/1/2021,21/2/2021,cold,control,Deli,0.093,NA,NA,0.209,485.827,49,NA,NA,21.322,30.629,51.951,Yes,1,4.53,2.34,0.68,42,,,
LD430_20,CL127_20,26/12/2020,31/1/2021,hot,ablated,Deli,NA,17.521,21.117,0.226,1328.12,45,2449,NA,NA,NA,NA,Yes,1,4.23,1.33,0.79,36,cannot see cloaca,V2.2 wrong,"DAY 3 All NA, WRONG"
LD432_20,CL127_20,28/12/2020,21/2/2021,hot,control,Deli,0.107,NA,NA,0.33,1070.78,68,NA,NA,23.24,34.173,57.413,Yes,1,3.64,1.22,0.57,55,,,
LD442_20,CL129_20,28/12/2020,11/2/2021,hot,ablated,Deli,0.1,NA,NA,0.238,670.84,6,NA,NA,22.747,NA,NA,Yes,1,2.99,0.89,0.68,45,tail tip is invisible,,
LD469_20,CL140_20,3/1/2021,21/2/2021,hot,control,Deli,0.104,18.076,22.643,0.208,588.906,4,5831,NA,20.377,27.697,48.074,Yes,1,6.59,2.32,1.2,49,,,
LD482_20,CL142_20,31/12/2020,2/3/2021,hot,ablated,Deli,0.108,16.728,23.709,0.308,366.715,3,NA,NA,23.152,36.71,59.862,Yes,1,5.24,1.52,1.08,61,,,
LD490_20,CL145_20,1/1/2021,2/3/2021,hot,ablated,Deli,0.111,NA,NA,0.291,251.52,4,NA,NA,24.117,36.264,60.381,Yes,1,4.83,1.45,0.82,60,,,
LD493_20,CL146_20,7/1/2021,21/2/2021,hot,control,Deli,0.124,17.979,25.417,0.228,404.664,8,985,997,20.539,31.12,51.659,Yes,1,2.61,0.93,0.43,45,,,
LD496_20,CL147_20,29/12/2020,21/2/2021,hot,control,Deli,0.124,18.369,23.533,0.335,321.303,3,3104,3728,NA,NA,NA,Yes,1,2.67,1.01,0.54,54,no photo,,
LD503_20,CL149_20,5/1/2021,2/3/2021,hot,control,Deli,0.093,17.646,22.48,0.301,778.569,2,3851,NA,24.616,32.74,57.356,Yes,1,4.06,1.11,0.94,56,,,
LD532_20,CL155_20,4/1/2021,2/3/2021,hot,control,Deli,0.108,16.881,24.463,0.28,90.6654,3,4405,NA,24.072,36.011,60.083,Yes,1,2.98,0.85,0.59,57,,,
LG029_20,CL009_20,8/12/2020,31/1/2021,cold,control,Guich,0.15,21.106,24.149,0.387,1188.94,5,1263,1542,27.189,NA,NA,Yes,1,2.03,0.85,0.33,54,tail tip is invisible,,
LG032_20,CL011_20,11/12/2020,31/1/2021,cold,control,Guich,0.165,19.211,27.654,0.397,1066.76,3,28,1390,27.205,NA,NA,Yes,1,4.31,1.47,0.7,51,,,
LG039_20,CL013_20,9/12/2020,31/1/2021,cold,control,Guich,0.115,18.067,24.606,0.376,318.4,9,86,1542,28.52,NA,NA,Yes,1,4.91,1.78,1.03,53,tail tip is invisible,,
LG053_20,CL017_20,13/12/2020,31/1/2021,cold,ablated,Guich,0.122,19.444,23.726,0.379,760.213,3,2218,NA,NA,NA,NA,Yes,1,4.69,1.86,0.78,49,too blurred to set scale,,
LG055_20,CL018_20,26/11/2020,21/2/2021,hot,control,Guich,0.176,20.977,28.197,0.575,NA,4,937,NA,29.692,45.963,75.655,No,1,3.78,1.27,0.71,87,stick to tape before sprint speed,,
LG056_20,CL018_20,16/12/2020,31/1/2021,cold,ablated,Guich,0.141,20.422,26.645,0.401,488.732,60,6778,NA,24.392,37.651,62.043,Yes,1,5.64,2.15,0.93,46,,,
LG067_20,CL021_20,27/11/2020,31/1/2021,hot,ablated,Guich,0.174,20.772,26.923,0.564,703.317,2,2770,3975,27.499,42.231,69.73,Yes,1,6.15,3.22,0.94,65,,,
LG068_20,CL021_20,27/11/2020,31/1/2021,hot,control,Guich,0.18,20.969,26.413,0.479,470.395,1,1196,1378,29.281,39.712,68.993,Yes,1,2.64,0.96,0.38,65,,,
LG069_20,CL022_20,17/12/2020,31/1/2021,cold,control,Guich,0.165,20.914,26.974,0.327,1141.63,27,401,650,24.957,38.847,63.804,Yes,1,3.42,1.12,0.64,45,,,
LG084_20,CL025_20,25/12/2020,2/3/2021,cold,control,Guich,0.129,20.002,28.225,0.469,319.942,14,3860,NA,NA,NA,NA,Yes,1,2.72,0.73,0.57,67,"no photo, probably with wrong ID",,
LG087_20,CL026_20,1/12/2020,11/2/2021,hot,ablated,Guich,0.154,19.679,28.122,0.532,559.72,3,51,83,31.193,46.487,77.68,Yes,1,2.94,1.17,0.48,72,,,
LG088_20,CL026_20,21/12/2020,21/2/2021,cold,ablated,Guich,0.155,20.03,28.582,0.374,776.988,70,328,577,NA,NA,NA,Yes,1,3.39,0.96,0.74,62,cannot see cloaca,V2.4 wrong,
LG089_20,CL026_20,21/12/2020,31/1/2021,cold,control,Guich,0.17,20.186,28.755,0.416,2996.82,59,153,282,27.481,41.226,68.707,Yes,1,5.46,1.88,0.89,41,,,second run
LG097_20,CL029_20,2/12/2020,31/1/2021,hot,ablated,Guich,0.117,18.626,23.983,0.457,687.238,6,610,2981,26.372,43.668,70.04,Yes,1,4.44,1.58,0.75,60,,,
LG100_20,CL029_20,21/12/2020,11/2/2021,cold,ablated,Guich,0.13,19.363,23.505,0.388,1121.23,7,375,655,27.365,39.322,66.687,Yes,1,2.25,1.2,0.15,52,wrong V1.1,,
LG101_20,CL029_20,1/12/2020,31/1/2021,hot,control,Guich,0.126,16.912,23.351,0.461,639.421,81,664,4007,29.664,42.346,72.01,Yes,1,2.18,0.74,0.3,61,,,
LG102_20,CL029_20,22/12/2020,31/1/2021,cold,control,Guich,0.129,19.344,25.289,0.359,777.254,5,3442,7818,23.94,35.209,59.149,Yes,1,9.33,4.73,1.35,40,,,
LG104_20,CL030_20,23/12/2020,21/2/2021,cold,ablated,Guich,0.163,20.372,25.838,0.545,19.3447,22,2308,5091,26.245,41.193,67.438,Yes,1,4.04,1.36,0.8,60,,,
LG109_20,CL030_20,23/12/2020,11/2/2021,cold,ablated,Guich,0.152,19.588,24.931,0.333,771.012,2,1092,1094,23.241,35.779,59.02,Yes,1,2.77,1.23,0.3,50,,,
LG111_20,CL031_20,21/12/2020,11/2/2021,cold,ablated,Guich,0.122,19.078,23.579,0.342,2083.31,140,483,684,25.947,37.045,62.992,Yes,1,4.68,1.93,0.85,52,,,
LG112_20,CL031_20,23/12/2020,11/2/2021,cold,ablated,Guich,0.166,19.986,28.232,0.355,847.639,13,NA,NA,25.916,39.144,65.06,Yes,1,2.99,1.18,0.43,50,,,
LG113_20,CL031_20,20/12/2020,11/2/2021,cold,control,Guich,0.121,17.889,25.818,0.313,1242.36,69,205,1174,25.495,37.362,62.857,Yes,1,2.37,0.75,0.47,53,,,
LG118_20,CL032_20,22/12/2020,11/2/2021,cold,control,Guich,0.148,19.76,24.01,0.306,27.0626,6,1255,2638,23.163,32.574,55.737,Yes,1,4.24,1.45,0.57,51,,,
LG121_20,CL033_20,3/12/2020,31/1/2021,cold,ablated,Guich,0.169,19.856,22.553,0.422,220.285,58,927,1902,24.419,34.841,59.26,Yes,1,3.51,1.21,0.53,59,,,
LG122_20,CL034_20,4/12/2020,31/1/2021,hot,ablated,Guich,0.148,20.121,26.786,0.346,612.406,3,393,1019,25.821,36.934,62.755,Yes,1,3.5,1.13,0.64,58,,,
LG135_20,CL038_20,6/12/2020,11/2/2021,hot,control,Guich,0.149,19.318,28.362,0.529,688.907,209,NA,NA,28.481,NA,NA,Yes,1,5.94,3.48,0.7,67,tail tip is invisible,,
LG141_20,CL040_20,24/12/2020,31/1/2021,cold,ablated,Guich,0.166,20.707,29.599,0.468,1185.84,8,181,NA,26.249,41.329,67.578,Yes,1,4.96,2.14,0.77,38,,,
LG142_20,CL041_20,26/12/2020,21/2/2021,cold,ablated,Guich,0.152,20.782,25.382,0.346,493.414,95,2420,4541,25.001,NA,NA,Yes,1,4.04,1.59,0.59,57,,,
LG144_20,CL042_20,3/12/2020,31/1/2021,hot,ablated,Guich,0.126,19.123,25.274,0.453,1154.82,7,1331,1413,27.927,40.804,68.731,Yes,1,3,1.01,0.43,59,,,
LG145_20,CL043_20,6/12/2020,11/2/2021,hot,control,Guich,0.13,18.787,23.958,0.393,832.478,9,5704,NA,27.189,37.898,65.087,Yes,1,2.84,0.93,0.56,67,,,
LG147_20,CL044_20,29/12/2020,21/2/2021,cold,ablated,Guich,0.163,19.648,25.153,0.416,301.022,1,2496,2825,NA,NA,NA,Yes,1,4.42,1.76,0.73,54,no photo,,
LG148_20,CL044_20,6/12/2020,11/2/2021,hot,ablated,Guich,0.144,19.877,24.898,0.439,1026.16,6,1246,2970,28.577,39.293,67.87,Yes,1,5.23,1.58,1.04,67,,,
LG149_20,CL044_20,7/12/2020,31/1/2021,hot,control,Guich,0.154,20.722,24.533,0.441,648.837,1,1423,1512,29.464,36.962,66.426,Yes,1,4.07,2.07,0.26,55,V1.2 wrong,,
LG150_20,CL044_20,29/12/2020,11/2/2021,cold,control,Guich,0.153,19.209,23.835,0.326,787.871,7,1633,NA,24.868,33.603,58.471,Yes,1,10.63,4.05,1.77,44,,,
LG159_20,CL047_20,7/12/2020,2/3/2021,hot,control,Guich,0.156,19.233,28.069,0.59,271.166,4,1838,2995,28.258,49.537,77.795,Yes,1,4.78,1.56,1.07,85,,,
LG160_20,CL047_20,24/12/2020,31/1/2021,cold,ablated,Guich,0.143,19.942,25.935,0.476,475.002,11,629,1403,28.591,39.573,68.164,Yes,1,9.99,5.79,0.84,38,,,
LG174_20,CL051_20,26/12/2020,31/1/2021,cold,ablated,Guich,0.141,19.344,26.589,0.367,668.384,1,170,563,24.941,NA,NA,No,1,3.48,0.89,0.85,36,drop 1cm tail before measurement,,
LG176_20,CL051_20,6/12/2020,21/2/2021,hot,control,Guich,0.151,19.242,29.379,0.626,444.999,9,1596,2680,30.107,50.163,80.27,Yes,1,6.83,5.53,0.36,77,,,
LG195_20,CL056_20,8/12/2020,21/2/2021,hot,control,Guich,0.162,21.09,27.926,0.469,532.828,12,634,2561,29.483,41.951,71.434,Yes,1,8.24,2.31,1.84,75,,,
LG197_20,CL056_20,29/12/2020,11/2/2021,cold,ablated,Guich,0.146,19.628,24.661,0.254,149.931,9,1611,3314,24.01,32.081,56.091,Yes,1,10.85,7.1,0.85,44,,,
LG212_20,CL061_20,9/12/2020,31/1/2021,hot,control,Guich,0.139,19.129,23.129,0.416,1004.09,37,NA,NA,26.336,NA,NA,Yes,1,4.41,2.37,0.46,53,tail tip is invisible,,
LG213_20,CL061_20,30/12/2020,11/2/2021,cold,ablated,Guich,0.112,18.379,22.879,0.278,762.912,195,581,805,22.356,31.747,54.103,Yes,1,4.18,1.61,0.52,43,,,
LG214_20,CL062_20,9/12/2020,2/3/2021,hot,control,Guich,0.144,19.192,27.708,0.505,337.071,3,19,1289,28.484,43.116,71.6,Yes,1,3.34,1.24,0.33,83,,,
LG217_20,CL063_20,8/12/2020,11/2/2021,hot,control,Guich,0.138,18.094,26.528,0.451,211.926,8,79,1420,26.533,41.963,68.496,Yes,1,3.59,1.38,0.65,65,,,
LG219_20,CL064_20,10/12/2020,2/3/2021,hot,control,Guich,0.163,20.413,28.185,0.61,948.855,4,2450,2661,27.977,49.313,77.29,Yes,1,5.04,1.63,0.92,82,,,
