id,clutch,temp,egg_treat,sp,Weigth,SVL,Tail,Total,age
LG377_20,CL110_20,cold,control,Guich,0.35,25.643,NA,NA,53
LG411_20,CL122_20,hot,control,Guich,0.34,NA,NA,NA,48
LG413_20,CL122_20,cold,control,Guich,0.299,23.326,NA,NA,43
LG414_20,CL122_20,hot,ablated,Guich,0.515,27.309,45.761,73.07,59
LG450_20,CL133_20,hot,ablated,Guich,0.329,27.811,39.267,67.078,53
LG455_20,CL135_20,hot,ablated,Guich,0.281,24.615,36.159,60.774,42
LG457_20,CL136_20,hot,ablated,Guich,0.374,26.456,34.221,60.677,61
LG467_20,CL139_20,hot,ablated,Guich,0.329,23.438,NA,NA,50
LG548_20,CL161_20,hot,ablated,Guich,0.245,22.241,33.678,55.919,42
LG549_20,CL161_20,hot,control,Guich,0.36,25.804,NA,NA,51
