id,age,day_hatch,temp,egg_treat,sp,Weigth,Distance.moved1,Distance.moved2,Distance.moved3,mean_dist,Movement,Movement.1,Movement.2,Movement.3,Movement.4,Movement.5,mean_tohide,Time_snout_sec1,Time_snout_sec2,Time_snout_sec3,mean_snout,Time_emerge_sec1,Time_emerge_sec3,Time_emerge_sec3,mean_emerge,Notes.y,bd_liz_id.y,SVL,Tail,Total,Tail_intact,Notes,Notes.1,Notes.2.y,day,speed_1m_s1,speed_1m_s2,speed_1m_s3,mean_1m,burst_25cm1,burst_25cm2,burst_25cm3,mean_25cm
LD287_20,38,24/12/2020,cold,control,Deli,0.21,555.565,623.415,451.075,543.3516667,91.9198,28.2799,1108.12,0.039999,NA,NA,101,729,1594,1498,1273.666667,1452,4571,2332,2785,,LD287_20,20.72,31.569,52.289,Yes,,,,1,2.37,2.48,2.79,2.546666667,0.7,0.74,0.91,0.783333333
LD291_20,53,30/12/2020,cold,control,Deli,0.312,703.802,657.913,397.446,586.387,123.08,0.879997,1076.92,0.039999,NA,NA,15.33333333,1326,1220,1052,1199.333333,4740,1823,2274,2945.666667,*tip tail missing,LD291_20,24.936,35.737,60.673,No,stick to tape and drop ~2cm tail before sprint speed,,,1,5.98,3.24,4.04,4.42,1.67,0.91,1.22,1.266666667
LD342_20,35,27/12/2020,cold,control,Deli,0.248,430.245,1528.01,681.754,880.003,57.7999,17.84,1142.24,0.039999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LD342_20,23.881,33.619,57.5,Yes,,,,1,2.95,3.87,3.16,3.326666667,0.9,1.24,0.9,1.013333333
LD345_20,61,31/12/2020,cold,control,Deli,0.302,310.532,221.85,235.501,255.961,0.499709,34.4799,31.9199,16.6508,1165.56,0.039999,23,717,NA,2894,1805.5,1975,2506,4280,2920.333333,,LD345_20,23.633,31.347,54.98,Yes,,,,1,2.83,3.02,3.23,3.026666667,0.84,1.37,1.09,1.1
LD349_20,58,3/1/2021,cold,control,Deli,0.22,372.548,671.728,286.105,443.4603333,56.7999,6.99998,1143.24,0.039999,NA,NA,12,4511,1691,1137,2446.333333,NA,NA,2207,2207,,LD349_20,21.164,31.841,53.005,Yes,,,,1,3.43,2.68,2.63,2.913333333,1.04,0.79,0.69,0.84
LD396_20,54,7/1/2021,cold,control,Deli,0.279,1140.08,1103.01,498.125,913.7383333,176.32,78.5998,1023.72,0.039999,NA,NA,10.66666667,204,699,2454,1119,1005,2137,2581,1907.666667,,LD396_20,24.188,34.132,58.32,Yes,,,,1,3.42,3.34,2.65,3.136666667,0.99,1.11,0.75,0.95
LD416_20,43,9/1/2021,cold,control,Deli,0.252,1013.36,1054.55,632.398,900.1026667,145.04,90.7598,1053.2,0.039999,NA,NA,25,1352,4498,3833,3227.666667,1915,829,NA,1372,,LD416_20,23.622,29.731,53.353,Yes,,,,1,2.06,2.35,2.81,2.406666667,0.61,0.68,0.8,0.696666667
LD426_20,42,10/1/2021,cold,control,Deli,0.209,485.827,514.295,613.425,537.849,89.6398,332.759,1110.4,0.039999,NA,NA,24.66666667,NA,1926,2843,2384.5,NA,2937,3693,3315,,LD426_20,21.322,30.629,51.951,Yes,,,,1,4.53,3.1,3.44,3.69,2.34,0.89,1.37,1.533333333
LD064_20,86,27/11/2020,hot,control,Deli,0.472,645.86,399.318,622.611,555.9296667,1.17866,106.08,0.839997,11.847,1078.08,0.039999,8.333333333,3298,NA,1850,2574,4655,3902,2076,3544.333333,,LD064_20,25.883,NA,NA,Yes,has two photos,,,1,2.29,2.19,1.94,2.14,0.64,0.86,0.58,0.693333333
LD157_20,66,7/12/2020,hot,control,Deli,0.314,1081.55,927.621,1078.16,1029.110333,179.24,26.9599,1018,0.039999,NA,NA,3.666666667,NA,2154,850,1502,NA,NA,2299,2299,,LD157_20,24.832,33.64,58.472,Yes,,,,1,4.63,3.28,3.12,3.676666667,1.4,1.04,0.92,1.12
LD172_20,70,3/12/2020,hot,control,Deli,0.395,532.265,583.33,721.643,612.4126667,1.1647,98.9998,22.9599,12.9534,1101.04,0.039999,4.333333333,1460,807,NA,1133.5,2134,NA,NA,2134,,LD172_20,25.198,39.849,65.047,Yes,,,,1,2.68,3.28,3.57,3.176666667,0.92,1.1,1.22,1.08
LD192_20,38,24/12/2020,hot,control,Deli,0.278,412.39,814.509,497.617,574.8386667,78.5198,609.118,1121.52,0.039999,NA,NA,4,4784,1534,63,2127,NA,3395,3101,3248,,LD192_20,22.841,NA,NA,Yes,,,,1,3.43,7.07,7.22,5.906666667,1.35,2.06,2.2,1.87
LD200_20,67,6/12/2020,hot,control,Deli,0.331,838.521,752.411,832.52,807.8173333,159.96,0.279999,1040.08,0.039999,NA,NA,3,3369,3460,NA,3414.5,3448,3073,NA,3260.5,,LD200_20,25.999,NA,NA,Yes,tail tip is invisible,,,1,3.22,5.13,4.09,4.146666667,1.04,1.43,1.44,1.303333333
LD204_20,56,6/12/2020,hot,control,Deli,0.316,783.356,745.486,513.59,680.8106667,1.4064,140.64,46.8399,10.4891,1059.4,0.039999,8.333333333,2051,NA,2006,2028.5,3723,4405,3776,3968,,LD204_20,25.541,29.456,54.997,Yes,,,,1,17.72,14.43,5.99,12.71333333,7.14,5.64,1.61,4.796666667
