"","id","clutch","day_hatch","day_photo","temp","egg_treat","sp","Weigth","Distance.moved","Time_hide_sec","Time_snout_sec","Time_emerge_sec","SVL","Tail","Total","Tail_intact","day","speed_1m_s","burst_25cm","age","Notes","Notes.1","Notes.2.y","logTimeSnout","logspeed_1m","logspeed_burst","logTime_emerge_sec"
"47","LD281_20","CL084_20","11/12/2020","21/2/2021","hot","ablated","Deli",0.429,492.34,81,NA,NA,26.948,37.733,64.681,"Yes",1,3.36,1.17,72,"","","",NA,1.21194097397511,0.157003748809665,NA
"48","LD282_20","CL084_20","29/12/2020","11/2/2021","cold","ablated","Deli",0.229,537.094,2,3719,NA,23.016,31.173,54.189,"Yes",1,7.03,2.42,44,"","","",8.22121009392507,1.95018670582257,0.883767540168595,NA
"49","LD283_20","CL084_20","29/12/2020","21/2/2021","cold","control","Deli",0.295,657.937,2,2135,3728,22.994,34.573,57.567,"Yes",1,2.86,0.99,54,"","","",7.66622192566273,1.05082162483176,-0.0100503358535015,8.22362717580548
"50","LD287_20","CL086_20","24/12/2020","31/1/2021","cold","control","Deli",0.21,555.565,69,729,1452,20.72,31.569,52.289,"Yes",1,2.37,0.7,38,"","","",6.59167373200866,0.86288995514704,-0.356674943938732,7.28069719538474
"51","LD290_20","CL086_20","8/12/2020","31/1/2021","hot","control","Deli",0.362,369.22,568,2084,5270,26.745,35.738,62.483,"Yes",1,3.33,1.07,54,"","","",7.64204440287326,1.20297230399235,0.0676586484738149,8.56978564153541
"53","LD292_20","CL087_20","30/12/2020","21/2/2021","cold","ablated","Deli",0.327,1334.11,43,552,979,23.439,41.258,64.697,"Yes",1,2.53,0.77,53,"","","",6.31354804627709,0.928219302739429,-0.261364764134408,6.88653164253051
"54","LD294_20","CL087_20","12/12/2020","11/2/2021","hot","control","Deli",0.416,529.417,2,1012,2604,26.394,40.788,67.182,"Yes",1,4.82,1.8,61,"","","",6.91968384984741,1.57277392806251,0.587786664902119,7.86480400332846
"55","LD311_20","CL093_20","31/12/2020","21/2/2021","cold","ablated","Deli",0.276,496.236,11,NA,NA,22.91,32.631,55.541,"Yes",1,61.55,26.49,52,"","","",NA,4.11984985263046,3.27676730328398,NA
"56","LD312_20","CL093_20","13/12/2020","2/3/2021","hot","ablated","Deli",0.325,307.11,1,867,3492,24.108,40.238,64.346,"Yes",1,3.8,1.11,79,"","","",6.76503897678054,1.33500106673234,0.104360015324243,8.15822991695949
"57","LD332_20","CL097_20","15/12/2020","21/2/2021","hot","control","Deli",0.351,1056.6,3,1421,NA,25.365,NA,NA,"Yes",1,6.27,1.83,68,"","","",7.2591161280971,1.83577635464483,0.60431596685333,NA
"58","LD333_20","CL097_20","2/1/2021","2/3/2021","cold","ablated","Deli",0.263,1207.88,8,1318,1594,22.451,32.773,55.224,"Yes",1,16.83,10.02,59,"","","",7.18387071506245,2.82316300820271,2.30458309565672,7.37400185935016
"59","LD336_20","CL098_20","14/12/2020","2/3/2021","hot","control","Deli",0.327,258.386,2,1738,3179,21.897,NA,NA,"Yes",1,4.49,1.39,78,"","","",7.46049030582534,1.50185270175416,0.3293037471426,8.0643219609108
"60","LD342_20","CL100_20","27/12/2020","31/1/2021","cold","control","Deli",0.248,430.245,NA,NA,NA,23.881,33.619,57.5,"Yes",1,2.95,0.9,35,"","","",NA,1.08180517035173,-0.105360515657826,NA
"61","LD345_20","CL101_20","31/12/2020","2/3/2021","cold","control","Deli",0.302,310.532,19,717,1975,23.633,31.347,54.98,"Yes",1,2.83,0.84,61,"","","",6.57507584059962,1.04027671165515,-0.174353387144778,7.58832367733522
"62","LD349_20","CL102_20","3/1/2021","2/3/2021","cold","control","Deli",0.22,372.548,5,4511,NA,21.164,31.841,53.005,"Yes",1,3.43,1.04,58,"","","",8.4142741374084,1.23256026117785,0.0392207131532813,NA
"63","LD353_20","CL103_20","17/12/2020","2/3/2021","hot","control","Deli",0.398,477.577,11,1515,2185,24.029,NA,NA,"Yes",1,2.21,0.7,75,"","","",7.32317071794347,0.792992515529661,-0.356674943938732,7.68937110752969
"64","LD358_20","CL104_20","3/1/2021","21/2/2021","cold","ablated","Deli",0.192,552.688,2,2191,3328,20.821,24.967,45.788,"Yes",1,7.84,5.87,49,"","","",7.69211333959547,2.05923883436232,1.76985463384001,8.1101268019411
"65","LD361_20","CL104_20","18/12/2020","31/1/2021","hot","ablated","Deli",0.257,927.828,57,1364,2630,21.392,35.761,57.153,"Yes",1,3.61,1.41,44,"","","",7.21817683840341,1.28370777234479,0.343589704390077,7.87473912517181
"66","LD365_20","CL105_20","15/12/2020","11/2/2021","hot","ablated","Deli",0.256,1121.04,6,5624,NA,22.08,34.559,56.639,"Yes",1,3.36,1.15,58,"","","",8.6347984334905,1.21194097397511,0.139761942375159,NA
"67","LD374_20","CL109_20","19/12/2020","11/2/2021","hot","ablated","Deli",0.228,589.483,12,NA,NA,21.585,NA,NA,"Yes",1,5.15,1.52,54,"tail tip is invisible","","",NA,1.63899671467564,0.418710334858185,NA
"68","LD378_20","CL111_20","7/1/2021","21/2/2021","cold","ablated","Deli",0.299,1000.78,3,881,4296,22.926,30.196,53.122,"Yes",1,9.9,3.19,45,"","","",6.78105762593618,2.29253475714054,1.16002091679675,8.3654396361887
"69","LD383_20","CL111_20","19/12/2020","11/2/2021","hot","ablated","Deli",0.242,580.773,18,NA,NA,23.146,35.483,58.629,"Yes",1,3.59,1.16,54,"","","",NA,1.27815220250019,0.148420005118273,NA
