"","id","clutch","day_hatch","day_photo","temp","egg_treat","sp","Weigth","Distance.moved","Movement","Movement.1","Movement.2","Movement.3","Movement.4","Movement.5","Time_hide_sec","Time_snout_sec","Time_emerge_sec","Notes.y","bd_liz_id.y","SVL","Tail","Total","Tail_intact","Notes","Notes.1","Notes.2.y","day","speed_1m_s","burst_25cm","day_hatch.1","day_photo.1","age","time_tohide","time_hiding","time_active","maternal"
"131","LG214_20","CL062_20","9/12/2020","2/3/2021","hot","control","Guich",0.505,337.071,36.5199,43.0399,1163.52,0.039999,NA,NA,3,19,1289,"","LG214_20",28.484,43.116,71.6,"Yes","","","",1,3.34,1.24,"9/12/2020","2/3/2021",83,3,19,1289,"control"
"132","LG217_20","CL063_20","8/12/2020","11/2/2021","hot","control","Guich",0.451,211.926,0.852379,35.7999,7.67998,27.0753,1164.24,0.039999,8,79,1420,"","LG217_20",26.533,41.963,68.496,"Yes","","","",1,3.59,1.38,"8/12/2020","11/2/2021",65,8,79,1420,"control"
"133","LG219_20","CL064_20","10/12/2020","2/3/2021","hot","control","Guich",0.61,948.855,135.08,115.12,1064.96,0.039999,NA,NA,4,2450,2661,"","LG219_20",27.977,49.313,77.29,"Yes","","","",1,5.04,1.63,"10/12/2020","2/3/2021",82,4,2450,2661,"control"
"134","LG220_20","CL064_20","9/12/2020","21/2/2021","hot","ablated","Guich",0.56,470.718,76.9198,85.3198,1123.12,0.039999,NA,NA,24,NA,NA,"","LG220_20",30.116,49.127,79.243,"Yes","","","",1,2.54,0.75,"9/12/2020","21/2/2021",74,24,NA,NA,"ablated"
"135","LG222_20","CL065_20","27/12/2020","2/3/2021","cold","ablated","Guich",0.431,529.531,1.19384,108.64,364.239,11.863,1091.4,0.039999,5,2428,4648,"","LG222_20",27.374,38.701,66.075,"Yes","has two photos","","",1,26.64,22.39,"27/12/2020","2/3/2021",65,5,2428,4648,"ablated"
"136","LG224_20","CL065_20","8/12/2020","21/2/2021","hot","control","Guich",0.445,1725.21,198.96,39.8799,997.678,0.039999,NA,NA,2,1152,2256,"","LG224_20",26.458,40.514,66.972,"Yes","","","",1,18.15,11.08,"8/12/2020","21/2/2021",75,2,1152,2256,"control"
"137","LG225_20","CL065_20","29/12/2020","11/2/2021","cold","control","Guich",0.267,643.652,97.0398,214.759,1102.96,0.039999,NA,NA,5,842,875,"","LG225_20",23.143,34.289,57.432,"Yes","","","",1,3.63,1.04,"29/12/2020","11/2/2021",44,5,842,875,"control"
"138","LG230_20","CL067_20","30/12/2020","21/2/2021","cold","control","Guich",0.321,644.745,1.2567,114.36,48.8399,11.7538,1069.6,0.039999,19,298,3727,"","LG230_20",25.059,34.191,59.25,"Yes","","","",1,4.54,1.69,"30/12/2020","21/2/2021",53,19,298,3727,"control"
"139","LG231_20","CL067_20","29/12/2020","21/2/2021","cold","ablated","Guich",0.302,813.164,0.865927,172.32,112.84,5.05919,1011.84,0.039999,32,NA,NA,"","LG231_20",22.947,32.477,55.424,"Yes","","","",1,3.6,1.33,"29/12/2020","21/2/2021",54,32,NA,NA,"ablated"
"140","LG233_20","CL068_20","30/12/2020","11/2/2021","cold","control","Guich",0.369,238.46,38.5599,431.519,1161.48,0.039999,NA,NA,38,226,953,"","LG233_20",24.89,38.769,63.659,"Yes","","","",1,28.16,25.67,"30/12/2020","11/2/2021",43,38,226,953,"control"
"141","LG234_20","CL068_20","30/12/2020","2/3/2021","cold","ablated","Guich",0.351,1271.07,1.46367,215.159,0.519998,6.65458,984.878,0.039999,1,169,986,"","LG234_20",23.754,35.988,59.742,"Yes","","","",1,16.86,8.78,"30/12/2020","2/3/2021",62,1,169,986,"ablated"
"142","LG247_20","CL072_20","31/12/2020","11/2/2021","cold","control","Guich",0.294,265.35,0.938773,45.9999,334.839,23.0807,1154.04,0.039999,52,2151,3659,"","LG247_20",25.007,NA,NA,"Yes","tail tip is invisible","","",1,5.28,1.57,"31/12/2020","11/2/2021",42,52,2151,3659,"control"
"143","LG252_20","CL074_20","1/1/2021","2/3/2021","cold","control","Guich",0.381,389.064,0.830242,68.0798,476.639,13.638,1131.96,0.039999,2,2283,NA,"","LG252_20",25.449,38.531,63.98,"Yes","","","",1,6.05,1.65,"1/1/2021","2/3/2021",60,2,2283,NA,"control"
"144","LG272_20","CL081_20","13/12/2020","21/2/2021","hot","control","Guich",0.53,355.277,45.0799,208.759,1154.96,0.039999,NA,NA,96,2703,3756,"","LG272_20",28.565,43.142,71.707,"Yes","","","",1,4.05,1.65,"13/12/2020","21/2/2021",70,96,2703,3756,"control"
"145","LG274_20","CL081_20","12/12/2020","2/3/2021","hot","ablated","Guich",0.585,863.331,123.72,187.2,1076.32,0.039999,NA,NA,2,1004,1343,"","LG274_20",29.628,44.241,73.869,"Yes","","","",1,2.55,0.91,"12/12/2020","2/3/2021",80,2,1004,1343,"ablated"
"146","LG276_20","CL082_20","11/12/2020","2/3/2021","hot","ablated","Guich",0.49,39.5311,0.26,1.04,154.12,239.799,1199,0.039999,2,721,2688,"","LG276_20",29.512,NA,NA,"Yes","","","",1,3.3,1.57,"11/12/2020","2/3/2021",81,2,721,2688,"ablated"
"147","LG296_20","CL088_20","15/12/2020","11/2/2021","hot","ablated","Guich",0.345,532.549,1.26356,92.2398,478.479,14.9702,1107.8,0.039999,31,37,1412,"","LG296_20",25.041,NA,NA,"Yes","tail tip is invisible","","",1,6.27,2.63,"15/12/2020","11/2/2021",58,31,37,1412,"ablated"
"148","LG297_20","CL089_20","13/12/2020","21/2/2021","hot","control","Guich",0.438,1750,239.759,32.5599,960.278,0.039999,NA,NA,104,170,305,"","LG297_20",26.814,42.742,69.556,"Yes","","","",1,3.37,1.34,"13/12/2020","21/2/2021",70,104,170,305,"control"
"149","LG300_20","CL090_20","16/12/2020","31/1/2021","hot","control","Guich",0.423,804.068,128.64,2.95999,1071.4,0.039999,NA,NA,9,1399,5240,"","LG300_20",25.145,42.529,67.674,"Yes","","","",1,2.96,0.94,"16/12/2020","31/1/2021",46,9,1399,5240,"control"
"150","LG304_20","CL091_20","12/12/2020","11/2/2021","hot","ablated","Guich",0.418,1567.02,1.52236,309.039,50.3599,4.38915,890.998,0.039999,207,814,1332,"","LG304_20",25.249,NA,NA,"Yes","tail tip is invisible","","",1,3.18,0.87,"12/12/2020","11/2/2021",61,207,814,1332,"ablated"
"151","LG305_20","CL092_20","3/1/2021","21/2/2021","cold","control","Guich",0.23,638.678,130.68,12.76,1069.36,0.039999,NA,NA,5,792,1466,"","LG305_20",22.188,30.59,52.778,"Yes","","","",1,5.06,1.37,"3/1/2021","21/2/2021",49,5,792,1466,"control"
"152","LG306_20","CL092_20","14/12/2020","11/2/2021","hot","control","Guich",0.49,390.291,69.2798,222.319,1130.76,0.039999,NA,NA,5,1119,3758,"","LG306_20",26.816,NA,NA,"Yes","tail tip is invisible","","",1,4.94,2.1,"14/12/2020","11/2/2021",59,5,1119,3758,"control"
"153","LG307_20","CL092_20","3/1/2021","21/2/2021","cold","ablated","Guich",0.257,1043.6,180.04,0.519998,1019.2,0.039999,NA,NA,45,121,348,"","LG307_20",23.207,31.873,55.08,"Yes","","","",1,4.7,1.46,"3/1/2021","21/2/2021",49,45,121,348,"ablated"
"154","LG314_20","CL094_20","3/1/2021","2/3/2021","cold","ablated","Guich",0.197,1107.08,217.359,211.359,982.678,0.039999,NA,NA,40,852,1076,"","LG314_20",21.076,27.99,49.066,"Yes","","","",1,4.51,1.84,"3/1/2021","2/3/2021",58,40,852,1076,"ablated"
"155","LG315_20","CL094_20","15/12/2020","11/2/2021","hot","ablated","Guich",0.293,NA,NA,NA,NA,NA,NA,NA,5,1106,2043,"","LG315_20",24.262,36.55,60.812,"Yes","","","",1,25.03,10.32,"15/12/2020","11/2/2021",58,5,1106,2043,"ablated"
"156","LG316_20","CL095_20","19/12/2020","2/3/2021","hot","ablated","Guich",0.516,20.53,NA,0,NA,1200.04,1200.04,0.039999,1,845,1554,"","LG316_20",26.215,NA,NA,"Yes","recorded as LG319","","",1,5.7,1.84,"19/12/2020","2/3/2021",73,1,845,1554,"ablated"
"157","LG317_20","CL095_20","7/1/2021","21/2/2021","cold","control","Guich",0.339,603.035,94.7998,212.759,1105.24,0.039999,NA,NA,5,2142,NA,"","LG317_20",24.469,36.589,61.058,"Yes","","","",1,4.51,1.73,"7/1/2021","21/2/2021",45,5,2142,NA,"control"
"158","LG318_20","CL095_20","17/12/2020","11/2/2021","hot","control","Guich",0.42,1049.68,193.48,31.4799,1006.56,0.039999,NA,NA,4,653,679,"","LG318_20",27.078,42.079,69.157,"Yes","","","",1,2.94,0.83,"17/12/2020","11/2/2021",56,4,653,679,"control"
"159","LG320_20","CL095_20","19/12/2020","31/1/2021","hot","ablated","Guich",0.402,906.354,1.04312,147.08,31.5999,7.41519,1052.96,0.039999,2,1320,2868,"","LG320_20",26.675,42.074,68.749,"Yes","","","",1,4.23,2.26,"19/12/2020","31/1/2021",43,2,1320,2868,"ablated"
"160","LG321_20","CL095_20","7/1/2021","21/2/2021","cold","control","Guich",0.245,975.738,178.76,27.7999,1021.28,0.039999,NA,NA,2,36,808,"","LG321_20",22.872,31.149,54.021,"Yes","","","",1,4.91,1.99,"7/1/2021","21/2/2021",45,2,36,808,"control"
"161","LG322_20","CL095_20","18/12/2020","31/1/2021","hot","control","Guich",0.347,813.472,154.48,12.88,1045.56,0.039999,NA,NA,17,1648,NA,"","LG322_20",26.293,38.721,65.014,"Yes","","","",1,4.39,1.38,"18/12/2020","31/1/2021",44,17,1648,NA,"control"
"162","LG324_20","CL096_20","18/12/2020","31/1/2021","hot","ablated","Guich",0.393,689.774,1.04505,99.2797,71.6398,11.4662,1100.76,0.039999,15,3608,4273,"","LG324_20",26.835,NA,NA,"Yes","tail tip is invisible","","",1,4.4,1.58,"18/12/2020","31/1/2021",44,15,3608,4273,"ablated"
"163","LG325_20","CL096_20","6/1/2021","21/2/2021","cold","control","Guich",0.299,739.863,136.24,212.919,1063.8,0.039999,NA,NA,20,NA,NA,"","LG325_20",23.306,36.422,59.728,"Yes","","","",1,1.97,0.59,"6/1/2021","21/2/2021",46,20,NA,NA,"control"
"164","LG341_20","CL099_20","3/1/2021","2/3/2021","cold","ablated","Guich",0.241,829.029,139.36,35.5199,1060.68,0.039999,NA,NA,15,364,1065,"","LG341_20",22.511,30.771,53.282,"Yes","","","",1,9.75,3.17,"3/1/2021","2/3/2021",58,15,364,1065,"ablated"
"165","LG366_20","CL106_20","8/1/2021","2/3/2021","cold","control","Guich",0.324,67.8987,7.03998,28.0399,1193,0.039999,NA,NA,4,43,2505,"","LG366_20",25.207,34.376,59.583,"Yes","","","",1,3.87,1.16,"8/1/2021","2/3/2021",53,4,43,2505,"control"
"166","LG368_20","CL107_20","18/12/2020","21/2/2021","hot","ablated","Guich",0.395,751.461,119.96,148.56,1079.44,0.039999,NA,NA,16,1377,NA,"","LG368_20",26.057,39.706,65.763,"Yes","","","",1,3.63,1.09,"18/12/2020","21/2/2021",65,16,1377,NA,"ablated"
"167","LG377_20","CL110_20","8/1/2021","2/3/2021","cold","control","Guich",0.35,570.178,0.673824,100.4,4.11999,7.33092,1099.64,0.039999,14,NA,NA,"","LG377_20",25.643,NA,NA,"Yes","","","",1,6.36,2.06,"8/1/2021","2/3/2021",53,14,NA,NA,"control"
"168","LG411_20","CL122_20","25/12/2020","11/2/2021","hot","control","Guich",0.34,1489.91,199.639,0.039999,1000.4,0.599998,NA,NA,2,688,720,"","LG411_20",NA,NA,NA,"Yes","cannot see cloaca","","",1,3.76,1.49,"25/12/2020","11/2/2021",48,2,688,720,"control"
"169","LG413_20","CL122_20","9/1/2021","21/2/2021","cold","control","Guich",0.299,532.941,83.3198,188.92,1116.72,0.039999,NA,NA,6,577,NA,"","LG413_20",23.326,NA,NA,"Yes","part of tail is invisible","","",1,7.51,2.75,"9/1/2021","21/2/2021",43,6,577,NA,"control"
"170","LG414_20","CL122_20","24/12/2020","21/2/2021","hot","ablated","Guich",0.515,917.41,117.2,91.3598,1082.84,0.039999,NA,NA,1,138,1306,"","LG414_20",27.309,45.761,73.07,"Yes","","","",1,3.25,0.84,"24/12/2020","21/2/2021",59,1,138,1306,"ablated"
"171","LG450_20","CL133_20","30/12/2020","21/2/2021","hot","ablated","Guich",0.329,439.791,75.1198,203.519,1124.92,0.039999,NA,NA,17,NA,NA,"","LG450_20",27.811,39.267,67.078,"Yes","","","",1,4.07,1.23,"30/12/2020","21/2/2021",53,17,NA,NA,"ablated"
"172","LG455_20","CL135_20","31/12/2020","11/2/2021","hot","ablated","Guich",0.281,925.256,169.84,1.44,1030.12,0.039999,NA,NA,3,280,2618,"","LG455_20",24.615,36.159,60.774,"Yes","","","",1,3.58,1.16,"31/12/2020","11/2/2021",42,3,280,2618,"ablated"
"173","LG457_20","CL136_20","31/12/2020","2/3/2021","hot","ablated","Guich",0.374,383.424,1.228,61.3998,620.238,22.3262,1138.64,0.039999,4,521,3417,"","LG457_20",26.456,34.221,60.677,"Yes","","","",1,7.19,2.29,"31/12/2020","2/3/2021",61,4,521,3417,"ablated"
"174","LG467_20","CL139_20","2/1/2021","21/2/2021","hot","ablated","Guich",0.329,968.543,180.6,0.039999,1019.44,2.83999,NA,NA,2,3493,3750,"","LG467_20",23.438,NA,NA,"Yes","","","",1,7.52,4.25,"2/1/2021","21/2/2021",50,2,3493,3750,"ablated"
